ls,bna_min,bna_max,bna_avg,mars_min,mars_max,mars_avg
0,59.29,83.57,71.43,-74.5,-11.67,-43.08
1,58,82.43,70.22,-75.4,-12.2,-43.8
2,59.14,83.71,71.42,-73.67,-11.17,-42.42
3,62.43,83.57,73,-76.2,-12.4,-44.3
4,62,81.86,71.93,-75.67,-15.67,-45.67
5,60.43,81.71,71.07,-76.25,-13.25,-44.75
6,60.29,80.57,70.43,-75.5,-14.25,-44.88
7,58.71,78.14,68.42,-76,-12.8,-44.4
8,56.43,77.57,67,-76.5,-12,-44.25
9,58.14,78.29,68.22,-77.33,-14.83,-46.08
10,60.86,76.43,68.65,-76.5,-14.83,-45.66
11,58,78.71,68.35,-77,-14,-45.5
12,56,81,68.5,-77.17,-13.5,-45.34
13,57.43,84.86,71.14,-77.83,-13,-45.42
14,58,80.43,69.22,-77.5,-12.67,-45.08
15,57,79.57,68.28,-76.67,-17.5,-47.08
16,57.14,78,67.57,-76.67,-14.83,-45.75
17,57,79.43,68.22,-77.29,-13.57,-45.43
18,58.57,76.71,67.64,-77.83,-18,-47.92
19,51,74.43,62.72,-77.33,-17,-47.16
20,51.57,73.57,62.57,-77,-18,-47.5
21,54.86,75.86,65.36,-77.67,-20.5,-49.08
22,55.86,75.43,65.65,-77.5,-20.17,-48.84
23,53.29,74.43,63.86,-77.71,-16.86,-47.28
24,50.14,69.14,59.64,-77.83,-19.67,-48.75
25,47.71,73.14,60.42,-78.57,-17.71,-48.14
26,47.14,70.14,58.64,-79.17,-17.5,-48.34
27,44,72.14,58.07,-78.67,-17,-47.84
28,43.86,71.43,57.64,-79.17,-16.33,-47.75
29,43.43,71.86,57.64,-79.71,-17.43,-48.57
30,48.14,71.71,59.92,-78.5,-19.5,-49
31,45,72.14,58.57,-79.5,-19.67,-49.58
32,46.86,70.29,58.58,-78.29,-20.71,-49.5
33,46,68.29,57.14,-78.86,-20.86,-49.86
34,45.14,69.14,57.14,-78.67,-20.5,-49.58
35,49.71,66.86,58.28,-78.83,-21.33,-50.08
36,47.57,68.86,58.22,-78.71,-21.14,-49.92
37,43,66.71,54.86,-79.17,-22.17,-50.67
38,43.43,71,57.22,-79.17,-22.33,-50.75
39,49.29,66.86,58.08,-79.29,-22.71,-51
40,46.71,67.43,57.07,-80.57,-24,-52.28
41,48,67.71,57.86,-79.5,-23.5,-51.5
42,47,71.71,59.36,-79.57,-23.43,-51.5
43,48.29,70,59.14,-80.67,-24,-52.34
44,51.86,70.57,61.22,-79.17,-23.17,-51.17
45,49.43,68.71,59.07,-78.6,-23.2,-50.9
46,43.29,60,51.64,-79,-22.25,-50.62
47,40.86,60.14,50.5,-79.33,-25.33,-52.33
48,38.86,60.43,49.64,-80,-22.2,-51.1
49,36.57,62.29,49.43,-79.5,-24.5,-52
50,35.86,66.86,51.36,-80.86,-25.14,-53
51,39,56.43,47.72,-80,-22.5,-51.25
52,31.71,51.29,41.5,-79.25,-25.5,-52.38
53,30.43,53.71,42.07,-81.33,-25.67,-53.5
54,32.14,56,44.07,-81.67,-24.83,-53.25
55,38.14,60,49.07,-81.38,-26.75,-54.06
56,39.57,65.57,52.57,-81.83,-26.33,-54.08
57,39.57,63,51.28,-81.43,-26.71,-54.07
58,34.71,58.43,46.57,-81.83,-26.17,-54
59,33.29,55.57,44.43,-81.86,-26.57,-54.22
60,33.86,59.71,46.78,-82,-28.4,-55.2
61,34.29,58,46.14,-80.5,-26.25,-53.38
62,35,57.71,46.36,-81,-29.4,-55.2
63,34,55.86,44.93,-81.25,-29,-55.12
64,36,57.29,46.64,-83,-27.88,-55.44
65,35.86,55.14,45.5,-82.67,-29,-55.84
66,30.86,49.86,40.36,-82.14,-28.29,-55.22
67,33.43,54,43.72,-83.17,-26.83,-55
68,35.71,62,48.86,-83.71,-29.57,-56.64
69,45.14,64,54.57,-83.57,-29.14,-56.36
70,42.71,61,51.86,-84,-27.83,-55.92
71,42.71,60.86,51.78,-84.14,-29,-56.57
72,41.71,55.71,48.71,-82.57,-28.86,-55.72
73,43.57,58.43,51,-83.43,-27.43,-55.43
74,36.86,59.29,48.08,-83.5,-29,-56.25
75,34.57,53.43,44,-84,-26.14,-55.07
76,37.57,49.29,43.43,-85,-28.83,-56.92
77,35.14,49,42.07,-83.38,-27,-55.19
78,35.29,47.29,41.29,-83.17,-28.5,-55.84
79,28.29,49.29,38.79,-85.43,-27.43,-56.43
80,29,53.29,41.14,-83.67,-27.33,-55.5
81,31.29,52,41.64,-82.86,-28.86,-55.86
82,33.14,54.43,43.78,-84.71,-26.43,-55.57
83,37.43,53.86,45.64,-83.83,-25.33,-54.58
84,33.86,49.86,41.86,-84.43,-25.43,-54.93
85,36,58.71,47.36,-84,-27.17,-55.58
86,37.29,57.86,47.58,-82.75,-27.5,-55.12
87,31.29,48.86,40.08,-83,-24.83,-53.92
88,32.29,53.14,42.72,-83,-26.57,-54.78
89,36.86,53.14,45,-82.67,-27.5,-55.08
90,39.79,56.71,48.25,-82.83,-27.67,-55.25
91,40.57,56.86,48.72,-82.88,-29.12,-56
92,38.43,54.14,46.28,-84,-27,-55.5
93,36.29,52.71,44.5,-84.43,-27.57,-56
94,39.57,56,47.78,-83.67,-25.83,-54.75
95,37.14,55,46.07,-84.17,-28.5,-56.34
96,33.14,53,43.07,-83.25,-26.5,-54.88
97,33.71,46.71,40.21,-84.67,-25.67,-55.17
98,30,45.29,37.64,-85,-25.67,-55.34
99,29.57,43.86,36.72,-85,-27.14,-56.07
100,28.29,45.57,36.93,-84,-26.83,-55.42
101,27.14,43.71,35.42,-83.43,-26.29,-54.86
102,27.29,47,37.14,-84,-26.29,-55.14
103,21.71,45.14,33.42,-83.67,-24.83,-54.25
104,21.86,43.29,32.58,-82.67,-26,-54.34
105,20.14,40.57,30.36,-82.71,-24.29,-53.5
106,18.71,40.57,29.64,-82.5,-23.67,-53.08
107,24.71,45,34.86,-82,-25.67,-53.84
108,35.43,48.57,42,-81.14,-25.29,-53.22
109,35.71,54.71,45.21,-81.86,-25.14,-53.5
110,42.29,58.86,50.58,-82.67,-23.67,-53.17
111,36.14,57.71,46.92,-81.33,-24.67,-53
112,30.71,44.29,37.5,-81.29,-25.14,-53.22
113,29.14,49.14,39.14,-82,-24.83,-53.42
114,30.57,46,38.28,-81,-24.83,-52.92
115,29,48.43,38.72,-82.17,-22.33,-52.25
116,27.86,48.14,38,-80.57,-21.57,-51.07
117,23.86,44.14,34,-80.67,-20.17,-50.42
118,28.57,51.57,40.07,-81.14,-22.43,-51.78
119,38.71,58.86,48.78,-81.83,-21.5,-51.66
120,34,55,44.5,-82.17,-22.67,-52.42
121,32.71,47.57,40.14,-82,-23.33,-52.66
122,28.29,44.43,36.36,-81,-19.33,-50.16
123,24.86,46.43,35.64,-80.71,-20.43,-50.57
124,30.43,52.29,41.36,-80.17,-19.5,-49.84
125,32.57,55.57,44.07,-80.2,-18.4,-49.3
126,31.57,49.14,40.36,-80.2,-18,-49.1
127,28.71,49.57,39.14,-80.33,-19.67,-50
128,30.43,52.14,41.28,-79.33,-18.17,-48.75
129,27.29,55.57,41.43,-79,-19.83,-49.42
130,36.57,58.86,47.72,-79.67,-18.83,-49.25
131,37.43,56.14,46.78,-78.17,-17.83,-48
132,31.57,52.57,42.07,-79.33,-19,-49.16
133,28,49.29,38.64,-79.83,-17.33,-48.58
134,30.43,51,40.72,-78.67,-18.17,-48.42
135,31.71,49.43,40.57,-79.5,-14.83,-47.16
136,29.29,49.86,39.58,-78.75,-16,-47.38
137,32,54.14,43.07,-78.5,-12.5,-45.5
138,33.29,52.43,42.86,-79.25,-13,-46.12
139,29.43,47,38.22,-79.75,-18.5,-49.12
140,31.14,47.43,39.28,-79.25,-12,-45.62
141,31.14,52.14,41.64,-78.25,-11.5,-44.88
142,28.43,46.57,37.5,-78.5,-10.5,-44.5
143,26.57,46.43,36.5,-78.33,-12,-45.16
144,32.29,51.29,41.79,-78.25,-11.25,-44.75
145,33.43,49.86,41.64,-77,-12.25,-44.62
146,31.29,52,41.64,-76.25,-12.5,-44.38
147,30,51.29,40.64,-77.25,-12,-44.62
148,31.43,55.71,43.57,-77,-10.25,-43.62
149,39.57,57.71,48.64,-76,-9.67,-42.84
150,39.86,60.57,50.22,-77.5,-9.75,-43.62
151,41.57,60.86,51.22,-77.75,-13.75,-45.75
152,41.86,60.29,51.08,-78,-12,-45
153,41.43,63.86,52.64,-77.25,-12.75,-45
154,38.71,61.14,49.92,-77.67,-16,-46.84
155,33.29,52.29,42.79,-75.8,-15.6,-45.7
156,30.29,52.43,41.36,-76,-14.17,-45.08
157,32.29,54.57,43.43,-74,-13.6,-43.8
158,37.29,59.29,48.29,-76.33,-7.17,-41.75
159,44.14,60.71,52.42,-75.8,-5.2,-40.5
160,35,57,46,-75,-7,-41
161,32.71,54.43,43.57,-75.25,-8,-41.62
162,30.14,56.29,43.22,-75.5,-10.5,-43
163,32.29,50.57,41.43,-75,-10.6,-42.8
164,32.86,54.86,43.86,-75.17,-10.17,-42.67
165,32,59,45.5,-74.6,-10.2,-42.4
166,36.57,63.86,50.22,-75.2,-4.8,-40
167,39.14,66.57,52.86,-74.6,-8.2,-41.4
168,46.86,67.57,57.22,-74.2,-1.2,-37.7
169,41.57,62,51.78,-74,-3.33,-38.66
170,38.43,60.57,49.5,-74.6,-3.2,-38.9
171,41.29,57.57,49.43,-75,-3.8,-39.4
172,40.43,60.57,50.5,-75.33,-7.5,-41.42
173,41.86,69.14,55.5,-75,-8.8,-41.9
174,41.86,72.29,57.08,-75.4,-8.8,-42.1
175,46.57,67.43,57,-74,-2.8,-38.4
176,43.14,64.57,53.86,-75,-0.5,-37.75
177,42.86,65.43,54.14,-74.2,-3.2,-38.7
178,41,65.14,53.07,-75,-1.25,-38.12
179,40.57,63.14,51.86,-73,-4,-38.5
180,43.89,64,53.94,-73,-3,-38
181,44.71,67,55.86,-73.25,-2.75,-38
182,44.43,65.43,54.93,-75,-0.33,-37.66
183,44,58.71,51.36,-75,0.25,-37.38
184,40.86,63.29,52.08,-71.8,0.8,-35.5
185,44.14,67.14,55.64,-73.8,-2.6,-38.2
186,47.43,67.43,57.43,-73.6,-3.6,-38.6
187,44.71,66.86,55.78,-73.8,-5.2,-39.5
188,46.86,69.43,58.14,-74.4,-2,-38.2
189,44.86,72.43,58.64,-74.2,-2.2,-38.2
190,50,71.86,60.93,-73.8,-5,-39.4
191,49.71,72.14,60.92,-71.2,2.4,-34.4
192,50.71,74.86,62.78,-74,-0.8,-37.4
193,46.71,67.86,57.28,-72.6,2.4,-35.1
194,41.43,67.57,54.5,-72.8,4.2,-34.3
195,43.14,65.43,54.28,-71.4,-0.8,-36.1
196,45.57,67,56.28,-72.4,-2.8,-37.6
197,44,68.71,56.36,-71.6,-5.2,-38.4
198,47.86,71.43,59.64,-71.8,0.8,-35.5
199,47.14,74.71,60.92,-71.6,-4.2,-37.9
200,46.86,72.14,59.5,-71.8,-1.6,-36.7
201,46.43,74.14,60.28,-72.8,3.6,-34.6
202,50.43,76.14,63.28,-72,3.4,-34.3
203,52.43,76,64.22,-72,4.5,-33.75
204,52,72.86,62.43,-71.2,4,-33.6
205,51.57,70.57,61.07,-71.4,3.4,-34
206,52.43,75.86,64.14,-69.6,3.4,-33.1
207,55.14,77.71,66.42,-70,2.2,-33.9
208,49,74.14,61.57,-69.4,4,-32.7
209,47.71,74.86,61.28,-68.5,1.75,-33.38
210,48.14,71.57,59.86,-70,4.2,-32.9
211,50.86,68.86,59.86,-69,-0.6,-34.8
212,48.57,67.71,58.14,-68.2,1,-33.6
213,47.14,72.14,59.64,-69,4.25,-32.38
214,51.57,77.43,64.5,-69,1.2,-33.9
215,52.43,74,63.22,-70.2,-0.6,-35.4
216,51.71,73.86,62.78,-69.2,1.6,-33.8
217,53.86,76,64.93,-69.8,-1.6,-35.7
218,54.86,79.14,67,-70.75,-1.75,-36.25
219,53.71,79,66.36,-68.6,-4.8,-36.7
220,54,77.43,65.72,-68.2,-3.6,-35.9
221,54,78,66,-67.5,-0.75,-34.12
222,54.57,77.71,66.14,-69.2,-4.2,-36.7
223,54.71,74.71,64.71,-68.2,-4,-36.1
224,53.43,72.71,63.07,-68,-2.2,-35.1
225,53.14,79.71,66.42,-66.25,-1.5,-33.88
226,52.71,81.71,67.21,-66.6,-4.2,-35.4
227,57.14,83.71,70.42,-68,-2.25,-35.12
228,60.57,81.86,71.22,-68.4,0,-34.2
229,62.14,83.29,72.72,-68.8,3,-32.9
230,61.86,83.29,72.58,-67.5,-0.5,-34
231,59.57,78.29,68.93,-68.6,1.2,-33.7
232,56.29,78.86,67.58,-67.6,1.8,-32.9
233,53.86,80.43,67.15,-68,-1,-34.5
234,57.43,80.57,69,-67.75,0,-33.88
235,58.71,80.43,69.57,-68,1,-33.5
236,60.71,79.14,69.92,-66.75,0,-33.38
237,62,80.86,71.43,-67,-0.8,-33.9
238,60.71,84.71,72.71,-69.75,-1.75,-35.75
239,61.43,84.43,72.93,-67.2,-1.8,-34.5
240,61.14,80.43,70.78,-68.2,-3.6,-35.9
241,58.29,81.29,69.79,-65.5,-1.5,-33.5
242,59,83.57,71.28,-68.4,-3.8,-36.1
243,59.14,82.29,70.72,-66.6,-1.6,-34.1
244,61,83.14,72.07,-68.25,-4.25,-36.25
245,61.29,87.43,74.36,-68.4,-3.2,-35.8
246,65.14,87.86,76.5,-67.8,-4.2,-36
247,67.14,85.86,76.5,-67.5,-2.5,-35
248,65.86,86.14,76,-67.2,-1,-34.1
249,66.86,87.71,77.28,-67.75,-1.75,-34.75
250,66.29,88,77.15,-67.6,-1.4,-34.5
251,64.57,83,73.78,-68.25,1.5,-33.38
252,63.57,82.57,73.07,-68.4,-1,-34.7
253,63.43,85.43,74.43,-70.25,-1.5,-35.88
254,63.71,85.43,74.57,-69.8,-0.4,-35.1
255,64.86,81.71,73.28,-72,-1,-36.5
256,62.29,85.86,74.08,-69.25,0,-34.62
257,63.57,85.57,74.57,-72.4,-1,-36.7
258,62.14,84.57,73.35,-68.2,-3.4,-35.8
259,61.71,85.71,73.71,-72.5,-2,-37.25
260,63.86,85.29,74.58,-68.4,-0.2,-34.3
261,66.71,90,78.35,-70.2,-1.4,-35.8
262,70,90,80,-67.75,-1,-34.38
263,68.29,88.86,78.58,-71,-3.4,-37.2
264,65.43,90,77.72,-71.5,-2,-36.75
265,67.57,91.71,79.64,-70,-3.8,-36.9
266,69,92.29,80.65,-70,-5.75,-37.88
267,70.57,91.43,81,-71.33,-2.67,-37
268,69.57,90.86,80.22,-72.5,-7,-39.75
269,70.14,90.86,80.5,-69.33,-2.67,-36
270,69.9,90.62,80.26,-71,-3,-37
271,70.14,91.29,80.72,-69.2,-2.4,-35.8
272,69.71,91.29,80.5,-73,-4.67,-38.84
273,69.57,92.57,81.07,-72.67,-4.67,-38.67
274,68.86,90.57,79.72,-73.33,-3.33,-38.33
275,69,89.43,79.22,-73,-9,-41
276,66.71,90.86,78.78,-72.5,-3,-37.75
277,67.57,90.71,79.14,-73,-2,-37.5
278,69.14,91.86,80.5,-75,-8,-41.5
279,70.86,91,80.93,-76,-5,-40.5
280,70.14,89.43,79.78,-73.33,-3.67,-38.5
281,69.71,89.71,79.71,-73,-3.33,-38.16
282,70.14,88.43,79.28,-73,-6,-39.5
283,69.71,89.43,79.57,-71.33,-6.33,-38.83
284,69.43,90.43,79.93,-71.25,-5,-38.12
285,70.29,91.86,81.08,-71,-2,-36.5
286,71.43,91.86,81.65,-74,-6,-40
287,71.29,91.57,81.43,-72,-3,-37.5
288,70.43,90.43,80.43,-72.8,-4.4,-38.6
289,70.86,91.43,81.15,-70.5,-1.5,-36
290,70.71,89.86,80.28,-72,-2.8,-37.4
291,71,92,81.5,-71.4,-1.8,-36.6
292,72.14,91.14,81.64,-70.2,-3.2,-36.7
293,70.29,88.14,79.22,-69.4,-3.2,-36.3
294,69.71,90.43,80.07,-73.25,-2,-37.62
295,69.57,92.71,81.14,-72,-1.6,-36.8
296,71.86,90.71,81.28,-73.2,-1.4,-37.3
297,71.71,92.43,82.07,-71.2,-3,-37.1
298,72.86,93.14,83,-72.4,-3,-37.7
299,71.14,92.71,81.92,-72,-2.8,-37.4
300,73.14,88.29,80.72,-71,-3.4,-37.2
301,72.14,91.29,81.72,-73.4,-3,-38.2
302,70.14,91,80.57,-73.25,-3,-38.12
303,70.43,92.14,81.28,-71,-1.4,-36.2
304,70.14,93.29,81.72,-72,-2.83,-37.42
305,72.57,92.43,82.5,-72.5,-1.75,-37.12
306,70.14,88.43,79.28,-71,-2.8,-36.9
307,67.14,87.43,77.28,-72.2,-2.4,-37.3
308,66.86,88.71,77.78,-72.8,-3.6,-38.2
309,68.57,89.86,79.22,-72.2,-5.6,-38.9
310,68.43,90.43,79.43,-72.4,-3.2,-37.8
311,68.14,91.29,79.72,-70.33,-2.33,-36.33
312,69.14,90.43,79.78,-73,-3.67,-38.34
313,69.86,91.71,80.78,-75.25,-4.25,-39.75
314,68.14,89.14,78.64,-72,-5.25,-38.62
315,70.57,89.86,80.22,-72.75,-7.75,-40.25
316,72.29,88.71,80.5,-71.2,-5.6,-38.4
317,70,88,79,-72.67,-1.67,-37.17
318,70.14,90.14,80.14,-70,-2.25,-36.12
319,71.43,89.43,80.43,-71,-3.8,-37.4
320,71.29,89.29,80.29,-72,-4.2,-38.1
321,68.57,87.86,78.22,-70.8,-5.8,-38.3
322,65.43,85.86,75.65,-71.4,-3.8,-37.6
323,65.71,86.14,75.92,-71,-6.5,-38.75
324,68,88.86,78.43,-71.2,-6.4,-38.8
325,69.29,87.29,78.29,-71.67,-4.33,-38
326,71.29,83.71,77.5,-70.5,-6.5,-38.5
327,70.57,85.29,77.93,-72.67,-6.17,-39.42
328,69.43,87.57,78.5,-73.8,-5.2,-39.5
329,69,88,78.5,-73,-4.2,-38.6
330,66.29,87.57,76.93,-72.2,-9,-40.6
331,66.57,89.14,77.85,-72.83,-7.33,-40.08
332,67,89.14,78.07,-72.2,-7.4,-39.8
333,65.86,88.57,77.22,-72.2,-5.8,-39
334,67.71,88.57,78.14,-71.5,-5.17,-38.34
335,67.43,89.14,78.28,-71.4,-6.8,-39.1
336,66.43,91.43,78.93,-72.83,-7.17,-40
337,69.14,90.57,79.85,-74.2,-5.2,-39.7
338,70.43,91.71,81.07,-73.6,-5,-39.3
339,71,89,80,-73,-7.17,-40.08
340,71.57,88.86,80.22,-75.33,-8.5,-41.92
341,69.29,86.71,78,-74.6,-12.4,-43.5
342,68,88.14,78.07,-74.83,-7.5,-41.16
343,68.14,88.29,78.22,-74.4,-6.4,-40.4
344,68.86,90.86,79.86,-75.2,-5.6,-40.4
345,67.71,88.86,78.28,-74.17,-5.33,-39.75
346,66.29,89,77.65,-75.17,-6.17,-40.67
347,65,87.43,76.22,-73.6,-6.2,-39.9
348,64.57,86.86,75.72,-74.5,-7.33,-40.92
349,64.71,87.43,76.07,-75,-5.8,-40.4
350,64.86,84.43,74.65,-75.67,-9.67,-42.67
351,62.71,80.86,71.78,-75,-8,-41.5
352,61.71,80.57,71.14,-75.17,-8,-41.58
353,60,79.14,69.57,-77,-9,-43
354,59.71,84.43,72.07,-76,-9.5,-42.75
355,61.29,86.29,73.79,-75.67,-9.83,-42.75
356,64.14,84.86,74.5,-77.17,-11.33,-44.25
357,64.57,81.86,73.22,-76,-11.5,-43.75
358,63.29,84.86,74.08,-75.8,-11.2,-43.5
359,62.43,86.86,74.64,-76.33,-11.5,-43.92
